region_type,N_households,mean_total_peak_kW,median_total_peak_kW,min_total_peak_kW,max_total_peak_kW,std_total_peak_kW,p5_total_peak_kW,p95_total_peak_kW,mean_peak_per_household_kW,median_peak_per_household_kW,min_peak_per_household_kW,max_peak_per_household_kW,std_peak_per_household_kW,p5_peak_per_household_kW,p95_peak_per_household_kW,num_simulations
town,13,65.52132435089887,64.92250610043467,36.95351957171435,100.5997984967655,10.268895291943897,49.61838027145251,83.46357086051385,5.040101873146068,4.994038930802667,2.842578428593412,7.7384460382127305,0.7899150224572228,3.816798482419424,6.42027468157799,2000
town,14,70.659507096185,70.1492919310219,43.067129022774004,106.20921954205954,10.657095283923201,53.67040312217337,89.02488129288821,5.047107649727501,5.010663709358708,3.0762235016267145,7.586372824432824,0.7612210917088001,3.8336002230123833,6.358920092349158,2000
town,15,74.87709142093563,74.06038611753458,44.20431931292647,117.38351802029507,10.860256065943256,58.07503720872999,94.6396983274613,4.991806094729042,4.9373590745023055,2.946954620861765,7.825567868019672,0.7240170710628837,3.871669147248666,6.309313221830753,2000
town,16,80.3365123308769,79.84451527600066,49.49491726122869,130.586350857393,11.232185023013725,63.444844060115365,99.96652814955796,5.021032020679806,4.9902822047500415,3.0934323288267933,8.161646928587063,0.7020115639383578,3.9653027537572103,6.2479080093473724,2000
town,17,84.99152475725292,84.30507390216118,51.283246132587635,133.51171227840135,11.517615329522764,67.07571370936843,104.79505598328834,4.9995014563089955,4.959121994244775,3.0166615372110375,7.853630134023609,0.6775067840895742,3.945630218198143,6.16441505784049,2000
town,18,89.61157217902465,89.41901780534508,56.142931505928516,130.68536218476646,11.739599027164084,71.19425247264648,110.05174042168089,4.97842067661248,4.96772321140806,3.119051750329362,7.260297899153692,0.6521999459535601,3.95523624848036,6.1139855789822715,2000
town,19,95.13755919848892,94.69547179147175,63.58027671734769,141.8091685230124,12.124740249786395,76.11912748094196,116.43746454082661,5.007239957815205,4.983972199551145,3.346330353544615,7.4636404485796,0.6381442236729682,4.0062698674179975,6.128287607411926,2000
town,20,100.07302262796685,99.43544870443745,66.72694020075862,148.99114482698366,12.549577018306492,80.9361812907915,121.86205178740796,5.0036511313983425,4.971772435221872,3.336347010037931,7.449557241349183,0.6274788509153245,4.046809064539575,6.093102589370398,2000
town,21,105.7070021791017,104.97136841936751,71.81695672144757,164.01696027885083,12.701650662134055,85.7318355735518,127.38365057798089,5.033666770433415,4.998636591398452,3.4198550819736937,7.81033144185004,0.6048405077206693,4.082468360645324,6.065888122760994,2000
town,22,110.4078607849188,109.60391288755044,74.19617865222419,161.8209443912014,12.851608924223486,90.37108007427983,132.606204900455,5.018539126587219,4.981996040343201,3.3725535751010995,7.355497472327337,0.5841640420101585,4.107776367012719,6.0275547682025,2000
town,23,115.41677188609074,114.89360880497219,76.12285508022649,169.82624231415014,13.271011674916576,94.76050716186887,138.06732328127907,5.018120516786554,4.995374295868356,3.309689351314195,7.383749665832615,0.5770005076050685,4.120022050516038,6.0029270991860475,2000
town,24,120.4502306487719,120.23556047963893,79.07916247691522,187.58121355814336,13.493562820252128,99.47074237399704,143.19780741969834,5.018759610365496,5.009815019984956,3.2949651032048006,7.815883898255973,0.562231784177172,4.14461426558321,5.966575309154097,2000
town,25,124.70728641575674,123.96474341144634,87.09656512129767,191.86765385401864,13.605600228688491,103.0820396926158,147.83650147607918,4.98829145663027,4.958589736457853,3.483862604851907,7.674706154160746,0.5442240091475398,4.123281587704632,5.913460059043167,2000
town,26,130.38591357494425,130.11291142898932,88.9836049599317,175.32165715562033,14.118392241651886,107.58298741533544,154.88633599806465,5.014842829805548,5.0043427472688204,3.4224463446127578,6.7431406598315515,0.5430150862173801,4.1378072082821316,5.957166769156332,2000
town,27,135.42853221020076,134.81753159383203,88.01617003559511,190.3409787341492,14.162058997297894,112.6098538437145,158.81160270084197,5.01587156334077,4.9932419108826664,3.2598581494664853,7.049665879042562,0.5245207036036258,4.170735327544982,5.881911211142294,2000
town,28,140.293022896946,139.73118098478108,100.24913399919905,185.6167705840379,14.404285385419094,116.86171889904037,163.73815053661494,5.010465103462357,4.9903993208850395,3.580326214257109,6.629170378001354,0.5144387637649677,4.17363281782287,5.847791090593391,2000
town,29,145.16798165421173,144.5873392522012,100.77001755049417,198.36598587243466,14.263719035161472,122.84908024151804,169.1313493452036,5.005792470834887,4.98577031904142,3.474828191396351,6.840206409394299,0.49185238052280944,4.236175180742001,5.832115494662193,2000
town,30,150.51202097113128,150.13080410488556,105.59431164995681,214.46886336175564,15.009107529637733,127.40694744560892,175.91281479961228,5.017067365704376,5.0043601368295185,3.5198103883318934,7.148962112058522,0.5003035843212578,4.246898248186963,5.8637604933204095,2000
town,31,155.77504639648697,155.280345189326,113.60681751888922,212.59887973759646,15.09806996618177,131.39134974661727,180.79077355400977,5.02500149666087,5.009043393204065,3.6647360489964265,6.858028378632144,0.48703451503812156,4.238430636987654,5.831960437226122,2000
town,32,160.4014979431181,159.9412980770124,117.47870813856524,207.79203399855282,15.07091838617451,136.65263598726247,186.41771036835624,5.012546810722441,4.998165564906637,3.6712096293301637,6.493501062454776,0.47096619956795344,4.270394874601952,5.8255534490111325,2000
town,33,164.81843185654034,164.62391914192193,121.41174950452393,220.73596761336245,15.295473072624445,139.759782981753,190.28555724996713,4.994497935046677,4.988603610361271,3.6791439243795128,6.688968715556438,0.46349918401892254,4.2351449388410005,5.766229007574761,2000
town,34,169.8705621699954,169.51111069749987,126.40986794064766,226.10013670137744,15.670206362917423,145.03591365828453,197.17985081758178,4.996193004999864,4.985620902867643,3.7179372923719898,6.6500040206287485,0.46088842243874767,4.265762166420133,5.799407376987699,2000
